,created_at,username,tweet_id,text,favorite_count,retweet_count,lang
0,Sun Aug 08 11:30:10 +0000 2021,AmethystPrude,1424332100455395331,Mention for follback #bot,0,0,en
1,Sun Aug 08 11:30:10 +0000 2021,Anm_Elfman,1424332102120525825,"He always uses the word ""man"" as a self-proclaimed image of himself, and as perhaps an odd guide for others to follow.#bot",0,0,en
2,Sat Aug 07 16:51:26 +0000 2021,BostonMarketJob,1424050561700171781,"At Boston Market, you will enjoy schedules that work for you, a plate-full of benefits and the opportunity to turn… https://t.co/7SPjkoEJKX",0,0,en
3,Sat Aug 07 15:15:18 +0000 2021,BostonMarketJob,1424026369382502415,"At Boston Market, we make great food, not fake food. Help nourish your Chandler, AZ community… apply today!… https://t.co/aBo0bnl1LG",0,0,en
4,Sun Aug 08 11:29:38 +0000 2021,MercifulStotch,1424331966669725696,"""There ya go, pal."" #Bot",0,0,en
5,Sun Aug 08 11:29:29 +0000 2021,SharinganVille,1424331928157577219,"Today you are You, that is truer than true. There is no one alive who is Youer than You. #Bot",0,0,en
6,Sun Aug 08 10:44:59 +0000 2021,bag2bag_care,1424320732738162689,"Choose the most flexible and affordable hotel rooms with Bag2Bag Rooms!!
https://t.co/9BRigjNvcN
#hourly #dayuse… https://t.co/uG5eSoQapM",1,0,en
7,Sun Aug 08 11:17:29 +0000 2021,hide_traveller,1424328910917931020,"RT @tocho_covid19: #Updates on COVID-19 in Tokyo（as of August 8)
New positive cases: 4,066
% change between latest 7-day moving average and…",0,10,en
8,Sun Aug 08 11:29:36 +0000 2021,mango_iscold,1424331957060595715,they love me #bot,0,0,en
9,Sun Aug 08 11:21:57 +0000 2021,octaveresonance,1424330032659451905,"RT @tocho_covid19: #Updates on COVID-19 in Tokyo（as of August 8)
New positive cases: 4,066
% change between latest 7-day moving average and…",0,10,en
10,Sun Aug 08 11:24:45 +0000 2021,streetdreames98,1424330737822486528,"RT @tocho_covid19: #Updates on COVID-19 in Tokyo（as of August 8)
New positive cases: 4,066
% change between latest 7-day moving average and…",0,10,en
11,Sat Aug 07 17:50:54 +0000 2021,tmj_NHC_HRTA,1424065529707257856,"See our latest Fitchburg, MA Restaurant Staff job opportunity and click the link in our bio to apply: Hourly Shift… https://t.co/1g3qxQAkgy",0,0,en
12,Sat Aug 07 20:26:21 +0000 2021,tmj_sjc_hrta,1424104647485054977,"This job is now open at Boston Market in SF, CA. Follow us and turn on mobile alerts to hear about jobs like these… https://t.co/NsCJUzuNcY",0,0,en
13,Sun Aug 08 11:16:38 +0000 2021,tocho_covid19,1424328694802239489,"#Updates on COVID-19 in Tokyo（as of August 8)
New positive cases: 4,066
% change between latest 7-day moving averag… https://t.co/o9W7rI4aVM",5,10,en
14,Sun Aug 08 11:17:37 +0000 2021,tocho_koho,1424328943256018954,"RT @tocho_covid19: #Updates on COVID-19 in Tokyo（as of August 8)
New positive cases: 4,066
% change between latest 7-day moving average and…",0,10,en
